Match Number,Round Number,Date,Location,Home Team,Away Team,Result
365,37,15/05/2022 19:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Antalyaspor,2 - 4
368,37,15/05/2022 19:00,Çotanak Stadium,Giresunspor,Istanbul Basaksehir,1 - 1
370,37,15/05/2022 19:00,Konya Metropolitan Municipality Stadium,Konyaspor,Atakas Hatayspor,3 - 1
366,37,16/05/2022 20:00,Yeni Rize Sehir Stadi,Çaykur Rizespor,Sivasspor,1 - 2
367,37,16/05/2022 20:00,Türk Telekom Stadium,Galatasaray,Adana Demirspor,3 - 2
373,38,20/05/2022 20:00,Antalya Stadium,Antalyaspor,Galatasaray,1 - 1
380,38,20/05/2022 20:00,New Gaziantep Stadium,Gaziantep Futbol Kulübü,Çaykur Rizespor,2 - 0
372,38,21/05/2022 16:00,Bornova Stadium,Altay,Kasimpasa,2 - 4
376,38,21/05/2022 16:00,New Sivas 4 Eylül Stadium,Sivasspor,Kayserispor,2 - 1
377,38,21/05/2022 19:00,Vodafone Park,Besiktas,Konyaspor,1 - 1
378,38,21/05/2022 19:00,New Malatya Stadium,Yeni Malatyaspor,Fenerbahçe,0 - 5
374,38,22/05/2022 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Trabzonspor,3 - 1
375,38,22/05/2022 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Alanyaspor,0 - 1
371,38,22/05/2022 19:00,New Hatay Stadium,Atakas Hatayspor,Giresunspor,4 - 1
379,38,22/05/2022 19:00,New Adana Stadium,Adana Demirspor,Göztepe,7 - 0
