Match Number,Round Number,Date,Location,Home Team,Away Team,Result
200,20,08/01/2022 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Atakas Hatayspor,3 - 1
191,20,08/01/2022 19:00,Türk Telekom Stadium,Galatasaray,Giresunspor,0 - 1
196,20,09/01/2022 13:30,Konya Metropolitan Municipality Stadium,Konyaspor,Sivasspor,0 - 1
195,20,09/01/2022 16:00,Gürsel Aksel Stadium,Göztepe,Antalyaspor,4 - 0
199,20,09/01/2022 16:00,Kadir Has Stadium,Kayserispor,Altay,1 - 0
193,20,09/01/2022 19:00,Yeni Rize Sehir Stadi,Çaykur Rizespor,Besiktas,2 - 2
197,20,10/01/2022 20:00,Sükrü Saracoglu Stadium,Fenerbahçe,Adana Demirspor,1 - 2
202,21,14/01/2022 20:00,Vodafone Park,Besiktas,Gaziantep Futbol Kulübü,1 - 0
209,21,14/01/2022 20:00,New Malatya Stadium,Yeni Malatyaspor,Göztepe,1 - 2
206,21,15/01/2022 13:30,New Adana Stadium,Adana Demirspor,Kayserispor,1 - 1
204,21,15/01/2022 16:00,New Sivas 4 Eylül Stadium,Sivasspor,Trabzonspor,1 - 1
210,21,15/01/2022 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Çaykur Rizespor,2 - 0
208,21,15/01/2022 19:00,Antalya Stadium,Antalyaspor,Fenerbahçe,1 - 1
205,21,16/01/2022 13:30,Bornova Stadium,Altay,Alanyaspor,0 - 2
203,21,16/01/2022 16:00,Çotanak Stadium,Giresunspor,Kasimpasa,0 - 2
201,21,16/01/2022 19:00,New Hatay Stadium,Atakas Hatayspor,Galatasaray,4 - 2
213,22,18/01/2022 20:00,Atatürk Olympic Stadium,Fatih Karagümrük,Besiktas,0 - 1
217,22,18/01/2022 20:00,Konya Metropolitan Municipality Stadium,Konyaspor,Adana Demirspor,1 - 0
216,22,19/01/2022 17:00,Gürsel Aksel Stadium,Göztepe,Sivasspor,2 - 1
218,22,19/01/2022 17:00,Kadir Has Stadium,Kayserispor,Istanbul Basaksehir,1 - 0
211,22,19/01/2022 20:00,Senol Günes Stadium,Trabzonspor,Giresunspor,1 - 1
219,22,19/01/2022 20:00,Sükrü Saracoglu Stadium,Fenerbahçe,Altay,2 - 1
215,22,20/01/2022 17:00,Yeni Rize Sehir Stadi,Çaykur Rizespor,Antalyaspor,
220,22,20/01/2022 17:00,Bahçesehir Okullari Stadium,Alanyaspor,Atakas Hatayspor,6 - 0
212,22,20/01/2022 20:00,Türk Telekom Stadium,Galatasaray,Kasimpasa,1 - 3
224,23,22/01/2022 13:30,New Malatya Stadium,Yeni Malatyaspor,Besiktas,1 - 1
223,23,22/01/2022 16:00,New Adana Stadium,Adana Demirspor,Fatih Karagümrük,5 - 0
229,23,22/01/2022 16:00,New Sivas 4 Eylül Stadium,Sivasspor,Fenerbahçe,1 - 1
230,23,22/01/2022 19:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Göztepe,1 - 2
221,23,23/01/2022 13:30,New Hatay Stadium,Atakas Hatayspor,Çaykur Rizespor,0 - 0
227,23,23/01/2022 13:30,Recep Tayyip Erdogan Stadium,Kasimpasa,Kayserispor,3 - 1
222,23,23/01/2022 16:00,Antalya Stadium,Antalyaspor,Gaziantep Futbol Kulübü,0 - 0
226,23,23/01/2022 16:00,Çotanak Stadium,Giresunspor,Alanyaspor,1 - 3
228,23,23/01/2022 16:00,Bornova Stadium,Altay,Konyaspor,0 - 1
225,23,23/01/2022 19:00,Türk Telekom Stadium,Galatasaray,Trabzonspor,1 - 2
231,24,04/02/2022 20:00,Konya Metropolitan Municipality Stadium,Konyaspor,Giresunspor,1 - 0
240,24,04/02/2022 20:00,Kadir Has Stadium,Kayserispor,Atakas Hatayspor,4 - 3
236,24,05/02/2022 13:30,New Gaziantep Stadium,Gaziantep Futbol Kulübü,Sivasspor,5 - 1
232,24,05/02/2022 16:00,Senol Günes Stadium,Trabzonspor,Kasimpasa,1 - 0
234,24,05/02/2022 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Yeni Malatyaspor,1 - 0
238,24,05/02/2022 19:00,Sükrü Saracoglu Stadium,Fenerbahçe,Istanbul Basaksehir,0 - 1
233,24,06/02/2022 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Galatasaray,1 - 1
237,24,06/02/2022 16:00,Yeni Rize Sehir Stadi,Çaykur Rizespor,Adana Demirspor,1 - 3
235,24,06/02/2022 19:00,Vodafone Park,Besiktas,Antalyaspor,0 - 0
239,24,06/02/2022 19:00,Gürsel Aksel Stadium,Göztepe,Altay,0 - 2
250,25,11/02/2022 20:00,Bornova Stadium,Altay,Çaykur Rizespor,0 - 0
242,25,12/02/2022 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Gaziantep Futbol Kulübü,2 - 0
249,25,12/02/2022 16:00,Çotanak Stadium,Giresunspor,Fenerbahçe,1 - 2
247,25,12/02/2022 19:00,Türk Telekom Stadium,Galatasaray,Kayserispor,1 - 1
245,25,13/02/2022 13:30,New Sivas 4 Eylül Stadium,Sivasspor,Yeni Malatyaspor,2 - 1
243,25,13/02/2022 16:00,Antalya Stadium,Antalyaspor,Fatih Karagümrük,3 - 0
246,25,13/02/2022 19:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Alanyaspor,2 - 2
248,25,13/02/2022 19:00,Senol Günes Stadium,Trabzonspor,Konyaspor,2 - 1
241,25,14/02/2022 20:00,New Hatay Stadium,Atakas Hatayspor,Göztepe,2 - 1
244,25,14/02/2022 20:00,New Adana Stadium,Adana Demirspor,Besiktas,1 - 1
252,26,18/02/2022 20:00,Konya Metropolitan Municipality Stadium,Konyaspor,Kasimpasa,4 - 4
258,26,18/02/2022 20:00,Yeni Rize Sehir Stadi,Çaykur Rizespor,Istanbul Basaksehir,0 - 2
255,26,19/02/2022 13:30,New Malatya Stadium,Yeni Malatyaspor,Antalyaspor,1 - 2
251,26,19/02/2022 16:00,Kadir Has Stadium,Kayserispor,Giresunspor,2 - 1
259,26,19/02/2022 19:00,Vodafone Park,Besiktas,Altay,1 - 0
257,26,20/02/2022 13:30,New Gaziantep Stadium,Gaziantep Futbol Kulübü,Adana Demirspor,0 - 3
254,26,20/02/2022 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Trabzonspor,0 - 4
256,26,20/02/2022 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Sivasspor,1 - 0
260,26,20/02/2022 19:00,Sükrü Saracoglu Stadium,Fenerbahçe,Atakas Hatayspor,2 - 0
253,26,21/02/2022 20:00,Gürsel Aksel Stadium,Göztepe,Galatasaray,2 - 3
207,26,22/02/2022 20:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Konyaspor,2 - 1
214,26,23/02/2022 20:00,New Gaziantep Stadium,Gaziantep Futbol Kulübü,Yeni Malatyaspor,0 - 0
265,27,25/02/2022 20:00,New Adana Stadium,Adana Demirspor,Antalyaspor,0 - 0
266,27,25/02/2022 20:00,Senol Günes Stadium,Trabzonspor,Kayserispor,3 - 2
263,27,26/02/2022 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Fatih Karagümrük,1 - 2
264,27,26/02/2022 19:00,New Sivas 4 Eylül Stadium,Sivasspor,Besiktas,2 - 3
262,27,27/02/2022 13:30,Bornova Stadium,Altay,Gaziantep Futbol Kulübü,3 - 2
269,27,27/02/2022 13:30,Çotanak Stadium,Giresunspor,Göztepe,3 - 1
261,27,27/02/2022 16:00,New Hatay Stadium,Atakas Hatayspor,Yeni Malatyaspor,5 - 2
267,27,27/02/2022 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Konyaspor,5 - 1
270,27,27/02/2022 19:00,Türk Telekom Stadium,Galatasaray,Çaykur Rizespor,4 - 2
268,27,28/02/2022 20:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Fenerbahçe,1 - 2
277,28,04/03/2022 20:00,New Malatya Stadium,Yeni Malatyaspor,Adana Demirspor,1 - 0
271,28,05/03/2022 16:00,Yeni Rize Sehir Stadi,Çaykur Rizespor,Giresunspor,1 - 2
272,28,05/03/2022 16:00,Gürsel Aksel Stadium,Göztepe,Kasimpasa,2 - 3
273,28,05/03/2022 19:00,Konya Metropolitan Municipality Stadium,Konyaspor,Galatasaray,2 - 0
279,28,06/03/2022 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Altay,0 - 0
274,28,06/03/2022 19:00,Sükrü Saracoglu Stadium,Fenerbahçe,Trabzonspor,1 - 1
276,28,06/03/2022 19:00,Antalya Stadium,Antalyaspor,Sivasspor,1 - 0
275,28,07/03/2022 20:00,Kadir Has Stadium,Kayserispor,Alanyaspor,1 - 2
278,28,07/03/2022 20:00,Vodafone Park,Besiktas,Istanbul Basaksehir,2 - 2
280,28,07/03/2022 20:00,New Gaziantep Stadium,Gaziantep Futbol Kulübü,Atakas Hatayspor,2 - 2
281,29,12/03/2022 13:30,New Hatay Stadium,Atakas Hatayspor,Fatih Karagümrük,3 - 0
284,29,12/03/2022 16:00,Bornova Stadium,Altay,Yeni Malatyaspor,1 - 0
290,29,12/03/2022 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Çaykur Rizespor,3 - 1
289,29,12/03/2022 19:00,Senol Günes Stadium,Trabzonspor,Göztepe,4 - 2
287,29,13/03/2022 13:30,Kadir Has Stadium,Kayserispor,Konyaspor,2 - 3
286,29,13/03/2022 16:00,New Adana Stadium,Adana Demirspor,Sivasspor,2 - 3
288,29,13/03/2022 19:00,Bahçesehir Okullari Stadium,Alanyaspor,Fenerbahçe,2 - 5
285,29,14/03/2022 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Antalyaspor,0 - 1
282,29,14/03/2022 20:00,Çotanak Stadium,Giresunspor,Gaziantep Futbol Kulübü,2 - 1
283,29,14/03/2022 20:00,Türk Telekom Stadium,Galatasaray,Besiktas,2 - 1
294,30,18/03/2022 20:00,Yeni Rize Sehir Stadi,Çaykur Rizespor,Trabzonspor,3 - 2
296,30,18/03/2022 20:00,Atatürk Olympic Stadium,Fatih Karagümrük,Kayserispor,3 - 0
292,30,19/03/2022 13:30,New Malatya Stadium,Yeni Malatyaspor,Kasimpasa,0 - 2
295,30,19/03/2022 16:00,Gürsel Aksel Stadium,Göztepe,Alanyaspor,0 - 2
298,30,19/03/2022 16:00,New Adana Stadium,Adana Demirspor,Istanbul Basaksehir,2 - 1
300,30,19/03/2022 19:00,Vodafone Park,Besiktas,Atakas Hatayspor,1 - 1
291,30,20/03/2022 13:30,Antalya Stadium,Antalyaspor,Giresunspor,4 - 1
299,30,20/03/2022 13:30,New Sivas 4 Eylül Stadium,Sivasspor,Altay,2 - 1
293,30,20/03/2022 16:00,New Gaziantep Stadium,Gaziantep Futbol Kulübü,Galatasaray,3 - 1
297,30,20/03/2022 19:00,Sükrü Saracoglu Stadium,Fenerbahçe,Konyaspor,2 - 1
307,31,02/04/2022 13:30,Çotanak Stadium,Giresunspor,Sivasspor,2 - 2
306,31,02/04/2022 16:00,Bornova Stadium,Altay,Antalyaspor,1 - 2
308,31,02/04/2022 16:00,Kadir Has Stadium,Kayserispor,Fenerbahçe,0 - 4
303,31,02/04/2022 20:30,Türk Telekom Stadium,Galatasaray,Fatih Karagümrük,2 - 0
