Match Number,Round Number,Date,Location,Home Team,Away Team,Result
74,9,24/10/2021 13:30,RheinEnergieStadion,1. FC Köln,Bayer 04 Leverkusen,2 - 2
78,9,24/10/2021 15:30,Mercedes-Benz Arena,VfB Stuttgart,Union Berlin,1 - 1
73,9,24/10/2021 17:30,Vonovia Ruhrstadion,VfL Bochum,Eintracht Frankfurt,2 - 0
84,10,29/10/2021 18:30,PreZero Arena,Hoffenheim,Hertha BSC,2 - 0
82,10,30/10/2021 13:30,Schüco-Arena,Arminia Bielefeld,Mainz 05,1 - 2
85,10,30/10/2021 13:30,SC-Stadion,SC Freiburg,SpVgg Greuther Fürth,3 - 1
87,10,30/10/2021 13:30,Stadion An der Alten Försterei,Union Berlin,FC Bayern,2 - 5
88,10,30/10/2021 13:30,BayArena,Bayer 04 Leverkusen,VfL Wolfsburg,0 - 2
90,10,30/10/2021 13:30,Signal Iduna Park,Borussia Dortmund,1. FC Köln,2 - 0
89,10,30/10/2021 16:30,Deutsche Bank Park,Eintracht Frankfurt,RB Leipzig,1 - 1
83,10,31/10/2021 14:30,WWK Arena,FC Augsburg,VfB Stuttgart,4 - 1
86,10,31/10/2021 16:30,Borussia-Park,Borussia Mönchengladbach,VfL Bochum,2 - 1
95,11,05/11/2021 19:30,Opel Arena,Mainz 05,Borussia Mönchengladbach,1 - 1
92,11,06/11/2021 14:30,Vonovia Ruhrstadion,VfL Bochum,Hoffenheim,2 - 0
96,11,06/11/2021 14:30,Mercedes-Benz Arena,VfB Stuttgart,Arminia Bielefeld,0 - 1
97,11,06/11/2021 14:30,Volkswagen Arena,VfL Wolfsburg,FC Augsburg,1 - 0
99,11,06/11/2021 14:30,Allianz Arena,FC Bayern,SC Freiburg,2 - 1
98,11,06/11/2021 17:30,Red Bull Arena,RB Leipzig,Borussia Dortmund,2 - 1
94,11,07/11/2021 14:30,Olympiastadion,Hertha BSC,Bayer 04 Leverkusen,1 - 1
93,11,07/11/2021 16:30,RheinEnergieStadion,1. FC Köln,Union Berlin,2 - 2
91,11,07/11/2021 18:30,Sportpark Ronhof Thomas Sommer,SpVgg Greuther Fürth,Eintracht Frankfurt,1 - 2
101,12,19/11/2021 19:30,WWK Arena,FC Augsburg,FC Bayern,2 - 1
100,12,20/11/2021 14:30,Schüco-Arena,Arminia Bielefeld,VfL Wolfsburg,2 - 2
103,12,20/11/2021 14:30,PreZero Arena,Hoffenheim,RB Leipzig,2 - 0
105,12,20/11/2021 14:30,Borussia-Park,Borussia Mönchengladbach,SpVgg Greuther Fürth,4 - 0
107,12,20/11/2021 14:30,BayArena,Bayer 04 Leverkusen,VfL Bochum,1 - 0
108,12,20/11/2021 14:30,Signal Iduna Park,Borussia Dortmund,VfB Stuttgart,2 - 1
106,12,20/11/2021 17:30,Stadion An der Alten Försterei,Union Berlin,Hertha BSC,2 - 0
104,12,21/11/2021 14:30,SC-Stadion,SC Freiburg,Eintracht Frankfurt,0 - 2
102,12,21/11/2021 16:30,Opel Arena,Mainz 05,1. FC Köln,1 - 1
113,13,26/11/2021 19:30,Mercedes-Benz Arena,VfB Stuttgart,Mainz 05,2 - 1
109,13,27/11/2021 14:30,Sportpark Ronhof Thomas Sommer,SpVgg Greuther Fürth,Hoffenheim,3 - 6
110,13,27/11/2021 14:30,Vonovia Ruhrstadion,VfL Bochum,SC Freiburg,2 - 1
111,13,27/11/2021 14:30,RheinEnergieStadion,1. FC Köln,Borussia Mönchengladbach,4 - 1
112,13,27/11/2021 14:30,Olympiastadion,Hertha BSC,FC Augsburg,1 - 1
115,13,27/11/2021 14:30,Volkswagen Arena,VfL Wolfsburg,Borussia Dortmund,1 - 3
