Match Number,Round Number,Date,Location,Home Team,Away Team,Result
293,33,07/05/2022 13:30,PreZero Arena,Hoffenheim,Bayer 04 Leverkusen,2 - 4
294,33,07/05/2022 13:30,SC-Stadion,SC Freiburg,Union Berlin,1 - 4
292,33,07/05/2022 16:30,Olympiastadion,Hertha BSC,Mainz 05,1 - 2
295,33,08/05/2022 13:30,Deutsche Bank Park,Eintracht Frankfurt,Borussia Mönchengladbach,1 - 1
297,33,08/05/2022 15:30,Allianz Arena,FC Bayern,VfB Stuttgart,2 - 2
296,33,08/05/2022 17:30,Red Bull Arena,RB Leipzig,FC Augsburg,4 - 0
298,34,14/05/2022 13:30,Schüco-Arena,Arminia Bielefeld,RB Leipzig,1 - 1
299,34,14/05/2022 13:30,WWK Arena,FC Augsburg,SpVgg Greuther Fürth,2 - 1
300,34,14/05/2022 13:30,Opel Arena,Mainz 05,Eintracht Frankfurt,2 - 2
301,34,14/05/2022 13:30,Mercedes-Benz Arena,VfB Stuttgart,1. FC Köln,2 - 1
302,34,14/05/2022 13:30,Borussia-Park,Borussia Mönchengladbach,Hoffenheim,5 - 1
303,34,14/05/2022 13:30,Stadion An der Alten Försterei,Union Berlin,VfL Bochum,3 - 2
304,34,14/05/2022 13:30,BayArena,Bayer 04 Leverkusen,SC Freiburg,2 - 1
305,34,14/05/2022 13:30,Volkswagen Arena,VfL Wolfsburg,FC Bayern,2 - 2
306,34,14/05/2022 13:30,Signal Iduna Park,Borussia Dortmund,Hertha BSC,2 - 1
