Match Number,Round Number,Date,Location,Home Team,Away Team,Result
298,30,02/04/2022 21:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Olympique de Marseille,2 - 4
299,30,03/04/2022 13:00,Stade de la Meinau,RC Strasbourg Alsace,RC Lens,1 - 0
291,30,03/04/2022 15:00,Stade Gabriel Montpied,Clermont Foot 63,FC Nantes,2 - 3
294,30,03/04/2022 15:00,Stade Saint-Symphorien,FC Metz,AS Monaco,1 - 2
295,30,03/04/2022 15:00,Stade de la Mosson,Montpellier Hérault SC,Stade Brestois 29,1 - 2
300,30,03/04/2022 15:00,Stade de l'Aube,ESTAC Troyes,Stade de Reims,1 - 0
293,30,03/04/2022 17:05,Groupama Stadium,Olympique Lyonnais,Angers SCO,3 - 2
297,30,03/04/2022 20:45,Parc des Princes,Paris Saint-Germain,FC Lorient,5 - 1
306,31,08/04/2022 21:00,Stade du Moustoir,FC Lorient,AS Saint-Étienne,6 - 2
309,31,09/04/2022 17:00,Stade Auguste Delaune,Stade de Reims,Stade Rennais FC,2 - 3
304,31,09/04/2022 21:00,Stade Gabriel Montpied,Clermont Foot 63,Paris Saint-Germain,1 - 6
301,31,10/04/2022 15:00,Stade Raymond Kopa,Angers SCO,LOSC Lille,1 - 1
302,31,10/04/2022 15:00,Matmut Atlantique,Girondins de Bordeaux,FC Metz,3 - 1
303,31,10/04/2022 15:00,Stade Francis-Le Blé,Stade Brestois 29,FC Nantes,1 - 1
308,31,10/04/2022 15:00,Stade Louis II,AS Monaco,ESTAC Troyes,2 - 1
305,31,10/04/2022 17:05,Stade Bollaert-Delelis,RC Lens,OGC Nice,3 - 0
310,31,10/04/2022 19:00,Stade de la Meinau,RC Strasbourg Alsace,Olympique Lyonnais,1 - 1
307,31,10/04/2022 21:00,Orange Vélodrome,Olympique de Marseille,Montpellier Hérault SC,2 - 0
318,32,15/04/2022 21:00,Roazhon Park,Stade Rennais FC,AS Monaco,2 - 3
319,32,16/04/2022 17:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Stade Brestois 29,2 - 1
311,32,16/04/2022 21:00,Stade Pierre-Mauroy,LOSC Lille,RC Lens,1 - 2
316,32,17/04/2022 13:00,Allianz Riviera,OGC Nice,FC Lorient,2 - 1
313,32,17/04/2022 15:00,Stade Saint-Symphorien,FC Metz,Clermont Foot 63,1 - 1
314,32,17/04/2022 15:00,Stade de la Mosson,Montpellier Hérault SC,Stade de Reims,0 - 0
315,32,17/04/2022 15:00,Stade de la Beaujoire,FC Nantes,Angers SCO,1 - 1
320,32,17/04/2022 15:00,Stade de l'Aube,ESTAC Troyes,RC Strasbourg Alsace,1 - 1
312,32,17/04/2022 17:05,Groupama Stadium,Olympique Lyonnais,Girondins de Bordeaux,6 - 1
317,32,17/04/2022 20:45,Parc des Princes,Paris Saint-Germain,Olympique de Marseille,2 - 1
321,33,20/04/2022 19:00,Stade Raymond Kopa,Angers SCO,Paris Saint-Germain,0 - 3
322,33,20/04/2022 19:00,Matmut Atlantique,Girondins de Bordeaux,AS Saint-Étienne,2 - 2
325,33,20/04/2022 19:00,Stade du Moustoir,FC Lorient,FC Metz,1 - 0
327,33,20/04/2022 19:00,Stade Louis II,AS Monaco,OGC Nice,1 - 0
328,33,20/04/2022 19:00,Stade Auguste Delaune,Stade de Reims,LOSC Lille,2 - 1
330,33,20/04/2022 19:00,Stade de l'Aube,ESTAC Troyes,Clermont Foot 63,0 - 1
323,33,20/04/2022 21:00,Stade Francis-Le Blé,Stade Brestois 29,Olympique Lyonnais,2 - 1
324,33,20/04/2022 21:00,Stade Bollaert-Delelis,RC Lens,Montpellier Hérault SC,2 - 0
326,33,20/04/2022 21:00,Orange Vélodrome,Olympique de Marseille,FC Nantes,3 - 2
329,33,20/04/2022 21:00,Stade de la Meinau,RC Strasbourg Alsace,Stade Rennais FC,2 - 1
333,34,23/04/2022 17:00,Groupama Stadium,Olympique Lyonnais,Montpellier Hérault SC,5 - 2
340,34,23/04/2022 19:00,Stade Geoffroy-Guichard,AS Saint-Étienne,AS Monaco,1 - 4
337,34,23/04/2022 21:00,Parc des Princes,Paris Saint-Germain,RC Lens,1 - 1
339,34,24/04/2022 13:00,Roazhon Park,Stade Rennais FC,FC Lorient,5 - 0
331,34,24/04/2022 15:00,Stade Gabriel Montpied,Clermont Foot 63,Angers SCO,2 - 2
334,34,24/04/2022 15:00,Stade Saint-Symphorien,FC Metz,Stade Brestois 29,0 - 1
335,34,24/04/2022 15:00,Stade de la Beaujoire,FC Nantes,Girondins de Bordeaux,5 - 3
336,34,24/04/2022 15:00,Allianz Riviera,OGC Nice,ESTAC Troyes,1 - 0
332,34,24/04/2022 17:05,Stade Pierre-Mauroy,LOSC Lille,RC Strasbourg Alsace,1 - 0
338,34,24/04/2022 20:45,Stade Auguste Delaune,Stade de Reims,Olympique de Marseille,0 - 1
349,35,29/04/2022 21:00,Stade de la Meinau,RC Strasbourg Alsace,Paris Saint-Germain,3 - 3
343,35,30/04/2022 17:00,Stade Bollaert-Delelis,RC Lens,FC Nantes,2 - 2
348,35,30/04/2022 21:00,Roazhon Park,Stade Rennais FC,AS Saint-Étienne,2 - 0
350,35,01/05/2022 13:00,Stade de l'Aube,ESTAC Troyes,LOSC Lille,3 - 0
342,35,01/05/2022 15:00,Stade Francis-Le Blé,Stade Brestois 29,Clermont Foot 63,2 - 0
344,35,01/05/2022 15:00,Stade du Moustoir,FC Lorient,Stade de Reims,1 - 2
346,35,01/05/2022 15:00,Stade Louis II,AS Monaco,Angers SCO,2 - 0
347,35,01/05/2022 15:00,Stade de la Mosson,Montpellier Hérault SC,FC Metz,2 - 2
341,35,01/05/2022 17:05,Matmut Atlantique,Girondins de Bordeaux,OGC Nice,0 - 1
345,35,01/05/2022 20:45,Orange Vélodrome,Olympique de Marseille,Olympique Lyonnais,0 - 3
354,36,06/05/2022 21:00,Stade Pierre-Mauroy,LOSC Lille,AS Monaco,1 - 2
352,36,07/05/2022 17:00,Stade Francis-Le Blé,Stade Brestois 29,RC Strasbourg Alsace,0 - 1
356,36,08/05/2022 13:00,Stade Saint-Symphorien,FC Metz,Olympique Lyonnais,3 - 2
351,36,08/05/2022 15:00,Stade Raymond Kopa,Angers SCO,Girondins de Bordeaux,4 - 1
353,36,08/05/2022 15:00,Stade Gabriel Montpied,Clermont Foot 63,Montpellier Hérault SC,2 - 1
360,36,08/05/2022 15:00,Stade Auguste Delaune,Stade de Reims,RC Lens,1 - 2
355,36,08/05/2022 17:05,Stade du Moustoir,FC Lorient,Olympique de Marseille,0 - 3
