Match Number,Round Number,Date,Location,Home Team,Away Team,Result
124,13,07/11/2021 15:00,Stade du Moustoir,FC Lorient,Stade Brestois 29,1 - 2
126,13,07/11/2021 15:00,Stade de la Beaujoire,FC Nantes,RC Strasbourg Alsace,2 - 2
128,13,07/11/2021 15:00,Stade Auguste Delaune,Stade de Reims,AS Monaco,0 - 0
130,13,07/11/2021 15:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Clermont Foot 63,3 - 2
127,13,07/11/2021 17:00,Allianz Riviera,OGC Nice,Montpellier Hérault SC,0 - 1
129,13,07/11/2021 20:45,Roazhon Park,Stade Rennais FC,Olympique Lyonnais,4 - 1
136,14,19/11/2021 21:00,Stade Louis II,AS Monaco,LOSC Lille,2 - 2
137,14,20/11/2021 17:00,Parc des Princes,Paris Saint-Germain,FC Nantes,3 - 1
138,14,20/11/2021 21:00,Roazhon Park,Stade Rennais FC,Montpellier Hérault SC,2 - 0
132,14,21/11/2021 13:00,Stade Francis-Le Blé,Stade Brestois 29,RC Lens,4 - 0
131,14,21/11/2021 15:00,Stade Raymond Kopa,Angers SCO,FC Lorient,1 - 0
135,14,21/11/2021 15:00,Stade Saint-Symphorien,FC Metz,Girondins de Bordeaux,3 - 3
139,14,21/11/2021 15:00,Stade de la Meinau,RC Strasbourg Alsace,Stade de Reims,1 - 1
140,14,21/11/2021 15:00,Stade de l'Aube,ESTAC Troyes,AS Saint-Étienne,0 - 1
133,14,21/11/2021 17:00,Stade Gabriel Montpied,Clermont Foot 63,OGC Nice,1 - 2
142,15,26/11/2021 21:00,Stade Bollaert-Delelis,RC Lens,Angers SCO,2 - 2
143,15,27/11/2021 17:00,Stade Pierre-Mauroy,LOSC Lille,FC Nantes,1 - 1
148,15,27/11/2021 21:00,Allianz Riviera,OGC Nice,FC Metz,0 - 1
150,15,28/11/2021 13:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Paris Saint-Germain,1 - 3
141,15,28/11/2021 15:00,Matmut Atlantique,Girondins de Bordeaux,Stade Brestois 29,1 - 2
144,15,28/11/2021 15:00,Stade du Moustoir,FC Lorient,Stade Rennais FC,0 - 2
146,15,28/11/2021 15:00,Stade Louis II,AS Monaco,RC Strasbourg Alsace,1 - 1
149,15,28/11/2021 15:00,Stade Auguste Delaune,Stade de Reims,Clermont Foot 63,1 - 0
147,15,28/11/2021 17:00,Stade de la Mosson,Montpellier Hérault SC,Olympique Lyonnais,0 - 1
145,15,28/11/2021 20:45,Orange Vélodrome,Olympique de Marseille,ESTAC Troyes,1 - 0
151,16,01/12/2021 19:00,Stade Raymond Kopa,Angers SCO,AS Monaco,1 - 3
152,16,01/12/2021 19:00,Stade Francis-Le Blé,Stade Brestois 29,AS Saint-Étienne,1 - 0
155,16,01/12/2021 19:00,Stade Saint-Symphorien,FC Metz,Montpellier Hérault SC,1 - 3
159,16,01/12/2021 19:00,Stade de la Meinau,RC Strasbourg Alsace,Girondins de Bordeaux,5 - 2
160,16,01/12/2021 19:00,Stade de l'Aube,ESTAC Troyes,FC Lorient,2 - 0
153,16,01/12/2021 21:00,Stade Gabriel Montpied,Clermont Foot 63,RC Lens,2 - 2
154,16,01/12/2021 21:00,Groupama Stadium,Olympique Lyonnais,Stade de Reims,1 - 2
156,16,01/12/2021 21:00,Stade de la Beaujoire,FC Nantes,Olympique de Marseille,0 - 1
157,16,01/12/2021 21:00,Parc des Princes,Paris Saint-Germain,OGC Nice,0 - 0
158,16,01/12/2021 21:00,Roazhon Park,Stade Rennais FC,LOSC Lille,1 - 2
165,17,04/12/2021 17:00,Orange Vélodrome,Olympique de Marseille,Stade Brestois 29,1 - 2
163,17,04/12/2021 19:00,Stade Pierre-Mauroy,LOSC Lille,ESTAC Troyes,2 - 1
162,17,04/12/2021 21:00,Stade Bollaert-Delelis,RC Lens,Paris Saint-Germain,1 - 1
170,17,05/12/2021 13:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Stade Rennais FC,0 - 5
164,17,05/12/2021 15:00,Stade du Moustoir,FC Lorient,FC Nantes,0 - 1
166,17,05/12/2021 15:00,Stade Louis II,AS Monaco,FC Metz,4 - 0
167,17,05/12/2021 15:00,Stade de la Mosson,Montpellier Hérault SC,Clermont Foot 63,1 - 0
169,17,05/12/2021 15:00,Stade Auguste Delaune,Stade de Reims,Angers SCO,1 - 2
168,17,05/12/2021 17:00,Allianz Riviera,OGC Nice,RC Strasbourg Alsace,0 - 3
161,17,05/12/2021 20:45,Matmut Atlantique,Girondins de Bordeaux,Olympique Lyonnais,2 - 2
175,18,10/12/2021 21:00,Stade de la Beaujoire,FC Nantes,RC Lens,3 - 2
172,18,11/12/2021 17:00,Stade Francis-Le Blé,Stade Brestois 29,Montpellier Hérault SC,0 - 4
177,18,11/12/2021 21:00,Stade Auguste Delaune,Stade de Reims,AS Saint-Étienne,2 - 0
173,18,12/12/2021 13:00,Stade Pierre-Mauroy,LOSC Lille,Olympique Lyonnais,0 - 0
171,18,12/12/2021 15:00,Stade Raymond Kopa,Angers SCO,Clermont Foot 63,0 - 1
174,18,12/12/2021 15:00,Stade Saint-Symphorien,FC Metz,FC Lorient,4 - 1
178,18,12/12/2021 15:00,Roazhon Park,Stade Rennais FC,OGC Nice,1 - 2
180,18,12/12/2021 15:00,Stade de l'Aube,ESTAC Troyes,Girondins de Bordeaux,1 - 2
179,18,12/12/2021 17:00,Stade de la Meinau,RC Strasbourg Alsace,Olympique de Marseille,0 - 2
176,18,12/12/2021 20:45,Parc des Princes,Paris Saint-Germain,AS Monaco,2 - 0
181,19,22/12/2021 21:00,Matmut Atlantique,Girondins de Bordeaux,LOSC Lille,2 - 3
183,19,22/12/2021 21:00,Stade du Moustoir,FC Lorient,Paris Saint-Germain,1 - 1
184,19,22/12/2021 21:00,Groupama Stadium,Olympique Lyonnais,FC Metz,1 - 1
185,19,22/12/2021 21:00,Orange Vélodrome,Olympique de Marseille,Stade de Reims,1 - 1
186,19,22/12/2021 21:00,Stade Louis II,AS Monaco,Stade Rennais FC,2 - 1
187,19,22/12/2021 21:00,Stade de la Mosson,Montpellier Hérault SC,Angers SCO,4 - 1
188,19,22/12/2021 21:00,Allianz Riviera,OGC Nice,RC Lens,2 - 1
189,19,22/12/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Étienne,FC Nantes,0 - 1
190,19,22/12/2021 21:00,Stade de l'Aube,ESTAC Troyes,Stade Brestois 29,1 - 1
192,20,07/01/2022 21:00,Matmut Atlantique,Girondins de Bordeaux,Olympique de Marseille,0 - 1
195,20,08/01/2022 21:00,Stade Bollaert-Delelis,RC Lens,Stade Rennais FC,1 - 0
197,20,09/01/2022 01:00,Groupama Stadium,Olympique Lyonnais,Paris Saint-Germain,1 - 1
193,20,09/01/2022 13:00,Stade Francis-Le Blé,Stade Brestois 29,OGC Nice,0 - 3
194,20,09/01/2022 15:00,Stade Gabriel Montpied,Clermont Foot 63,Stade de Reims,0 - 0
198,20,09/01/2022 15:00,Stade Saint-Symphorien,FC Metz,RC Strasbourg Alsace,0 - 2
200,20,09/01/2022 17:05,Stade de la Beaujoire,FC Nantes,AS Monaco,0 - 0
204,21,14/01/2022 21:00,Allianz Riviera,OGC Nice,FC Nantes,2 - 1
208,21,15/01/2022 17:00,Stade Geoffroy-Guichard,AS Saint-Étienne,RC Lens,1 - 2
205,21,15/01/2022 21:00,Parc des Princes,Paris Saint-Germain,Stade Brestois 29,2 - 0
207,21,16/01/2022 13:00,Roazhon Park,Stade Rennais FC,Girondins de Bordeaux,6 - 0
201,21,16/01/2022 15:00,Stade du Moustoir,FC Lorient,Angers SCO,0 - 0
203,21,16/01/2022 15:00,Stade Louis II,AS Monaco,Clermont Foot 63,4 - 0
206,21,16/01/2022 15:00,Stade Auguste Delaune,Stade de Reims,FC Metz,0 - 1
209,21,16/01/2022 15:00,Stade de la Meinau,RC Strasbourg Alsace,Montpellier Hérault SC,3 - 1
210,21,16/01/2022 17:05,Stade de l'Aube,ESTAC Troyes,Olympique Lyonnais,0 - 1
202,21,16/01/2022 20:45,Orange Vélodrome,Olympique de Marseille,LOSC Lille,1 - 1
182,21,19/01/2022 19:00,Stade Gabriel Montpied,Clermont Foot 63,RC Strasbourg Alsace,0 - 2
196,21,19/01/2022 19:00,Stade Pierre-Mauroy,LOSC Lille,FC Lorient,3 - 1
199,21,19/01/2022 19:00,Stade de la Mosson,Montpellier Hérault SC,ESTAC Troyes,0 - 1
216,22,21/01/2022 21:00,Groupama Stadium,Olympique Lyonnais,AS Saint-Étienne,1 - 0
213,22,22/01/2022 17:00,Stade Francis-Le Blé,Stade Brestois 29,LOSC Lille,2 - 0
215,22,22/01/2022 21:00,Stade Bollaert-Delelis,RC Lens,Olympique de Marseille,0 - 2
217,22,23/01/2022 13:00,Stade Saint-Symphorien,FC Metz,OGC Nice,0 - 2
211,22,23/01/2022 15:00,Stade Raymond Kopa,Angers SCO,ESTAC Troyes,2 - 1
212,22,23/01/2022 15:00,Matmut Atlantique,Girondins de Bordeaux,RC Strasbourg Alsace,4 - 3
214,22,23/01/2022 15:00,Stade Gabriel Montpied,Clermont Foot 63,Stade Rennais FC,2 - 1
219,22,23/01/2022 15:00,Stade de la Beaujoire,FC Nantes,FC Lorient,4 - 2
218,22,23/01/2022 17:05,Stade de la Mosson,Montpellier Hérault SC,AS Monaco,3 - 2
220,22,23/01/2022 20:45,Parc des Princes,Paris Saint-Germain,Stade de Reims,4 - 0
191,22,26/01/2022 19:00,Stade Raymond Kopa,Angers SCO,AS Saint-Étienne,0 - 1
134,22,01/02/2022 21:00,Groupama Stadium,Olympique Lyonnais,Olympique de Marseille,2 - 1
223,23,04/02/2022 21:00,Orange Vélodrome,Olympique de Marseille,Angers SCO,5 - 2
228,23,05/02/2022 17:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Montpellier Hérault SC,3 - 1
224,23,05/02/2022 21:00,Stade Louis II,AS Monaco,Olympique Lyonnais,2 - 0
222,23,06/02/2022 13:00,Stade du Moustoir,FC Lorient,RC Lens,2 - 0
225,23,06/02/2022 15:00,Allianz Riviera,OGC Nice,Clermont Foot 63,0 - 1
226,23,06/02/2022 15:00,Stade Auguste Delaune,Stade de Reims,Girondins de Bordeaux,5 - 0
229,23,06/02/2022 15:00,Stade de la Meinau,RC Strasbourg Alsace,FC Nantes,1 - 0
230,23,06/02/2022 15:00,Stade de l'Aube,ESTAC Troyes,FC Metz,0 - 0
227,23,06/02/2022 17:00,Roazhon Park,Stade Rennais FC,Stade Brestois 29,2 - 0
221,23,06/02/2022 20:45,Stade Pierre-Mauroy,LOSC Lille,Paris Saint-Germain,1 - 5
